iter	Passed	Remaining
0	10	3152
1	21	3332
2	32	3365
3	44	3379
4	54	3347
5	65	3339
6	77	3353
7	88	3339
8	98	3302
9	107	3211
10	117	3191
11	128	3199
12	139	3190
13	150	3172
14	156	3081
15	167	3073
16	178	3072
17	188	3064
18	199	3056
19	210	3057
20	221	3055
21	232	3044
22	243	3044
23	254	3033
24	265	3025
25	277	3028
26	289	3034
27	301	3034
28	312	3025
29	323	3015
30	333	3000
31	343	2987
32	355	2981
33	365	2967
34	376	2958
35	387	2946
36	397	2936
37	409	2932
38	421	2927
39	431	2913
40	442	2906
41	454	2902
42	465	2890
43	477	2888
44	490	2887
45	502	2882
46	514	2877
47	527	2881
48	543	2893
49	556	2893
50	569	2889
51	580	2881
52	594	2881
53	607	2878
54	620	2875
55	633	2875
56	650	2886
57	662	2880
58	675	2872
59	688	2869
60	700	2860
61	711	2847
62	723	2837
63	735	2826
64	747	2818
65	759	2806
66	771	2796
67	782	2786
68	794	2774
69	805	2762
70	817	2751
71	828	2738
72	840	2729
73	871	2779
74	884	2770
75	894	2754
76	905	2739
77	916	2725
78	926	2708
79	937	2694
80	947	2679
81	958	2664
82	969	2651
83	979	2636
84	990	2621
85	1002	2610
86	1013	2597
87	1023	2582
88	1035	2571
89	1046	2557
90	1057	2544
91	1070	2536
92	1082	2525
93	1092	2510
94	1104	2499
95	1115	2487
96	1126	2473
97	1137	2461
98	1148	2447
99	1158	2432
100	1169	2421
101	1180	2408
102	1190	2393
103	1202	2381
104	1214	2370
105	1224	2356
106	1235	2343
107	1246	2330
108	1256	2316
109	1267	2303
110	1277	2291
111	1288	2277
112	1299	2265
113	1310	2253
114	1320	2239
115	1332	2227
116	1343	2215
117	1353	2202
118	1364	2190
119	1376	2178
120	1386	2165
121	1397	2154
122	1408	2141
123	1419	2128
124	1430	2116
125	1441	2104
126	1451	2091
127	1462	2079
128	1475	2069
129	1485	2057
130	1497	2046
131	1508	2034
132	1518	2021
133	1529	2009
134	1540	1997
135	1552	1985
136	1563	1974
137	1576	1965
138	1588	1954
139	1600	1943
140	1612	1932
141	1623	1920
142	1634	1908
143	1645	1896
144	1655	1883
145	1665	1871
146	1676	1858
147	1686	1846
148	1697	1834
149	1708	1822
150	1719	1810
151	1731	1799
152	1743	1788
153	1754	1776
154	1763	1763
155	1774	1751
156	1784	1738
157	1794	1726
158	1805	1714
159	1815	1702
160	1826	1690
161	1837	1678
162	1847	1666
163	1858	1654
164	1868	1642
165	1880	1631
166	1891	1619
167	1901	1607
168	1912	1595
169	1923	1583
170	1933	1571
171	1944	1559
172	1955	1548
173	1965	1536
174	1976	1524
175	1987	1513
176	1998	1501
177	2010	1490
178	2021	1479
179	2032	1467
180	2043	1456
181	2053	1444
182	2064	1433
183	2076	1421
184	2087	1410
185	2098	1398
186	2108	1387
187	2119	1375
188	2131	1364
189	2142	1353
190	2153	1341
191	2163	1329
192	2174	1318
193	2185	1306
194	2195	1294
195	2206	1283
196	2217	1272
197	2228	1260
198	2238	1248
199	2249	1237
200	2259	1225
201	2272	1215
202	2283	1203
203	2293	1191
204	2304	1180
205	2315	1168
206	2325	1157
207	2336	1145
208	2346	1134
209	2357	1122
210	2368	1111
211	2378	1099
212	2389	1088
213	2400	1076
214	2411	1065
215	2422	1054
216	2434	1043
217	2446	1032
218	2457	1021
219	2469	1010
220	2481	999
221	2492	988
222	2503	976
223	2514	965
224	2524	953
225	2535	942
226	2545	930
227	2555	919
228	2566	907
229	2579	897
230	2590	885
231	2602	874
232	2613	863
233	2623	852
234	2634	840
235	2644	829
236	2655	817
237	2666	806
238	2676	795
239	2686	783
240	2697	772
241	2707	760
242	2718	749
243	2729	738
244	2739	726
245	2750	715
246	2761	704
247	2772	693
248	2783	681
249	2793	670
250	2804	659
251	2815	647
252	2825	636
253	2836	625
254	2848	614
255	2858	603
256	2869	591
257	2880	580
258	2890	569
259	2901	557
260	2912	546
261	2922	535
262	2933	524
263	2943	512
264	2954	501
265	2965	490
266	2976	479
267	2987	468
268	2999	457
269	3011	446
270	3023	435
271	3034	423
272	3045	412
273	3055	401
274	3065	390
275	3077	379
276	3088	367
277	3099	356
278	3110	345
279	3121	334
280	3132	323
281	3143	312
282	3154	300
283	3165	289
284	3176	278
285	3187	267
286	3201	256
287	3213	245
288	3226	234
289	3238	223
290	3251	212
291	3263	201
292	3277	190
293	3291	179
294	3303	167
295	3317	156
296	3328	145
297	3340	134
298	3351	123
299	3364	112
300	3379	101
301	3390	89
302	3400	78
303	3412	67
304	3423	56
305	3434	44
306	3445	33
307	3457	22
308	3467	11
309	3481	0
