iter	RMSE
0	26.5291596
1	25.94178262
2	25.3807284
3	24.84198329
4	24.32156592
5	23.817857
6	23.33673778
7	22.87503477
8	22.43005425
9	22.00197291
10	21.59025307
11	21.19809781
12	20.81985518
13	20.45563768
14	20.10722844
15	19.77450338
16	19.4545419
17	19.15123369
18	18.85781673
19	18.57674535
20	18.31095845
21	18.05445382
22	17.81150414
23	17.57983707
24	17.35759555
25	17.14628304
26	16.94163571
27	16.74708909
28	16.5629278
29	16.38649924
30	16.21980932
31	16.06075911
32	15.90974239
33	15.76574832
34	15.6292033
35	15.4986225
36	15.37496796
37	15.25806563
38	15.1464805
39	15.04075659
40	14.93995894
41	14.8440549
42	14.75452054
43	14.66809916
44	14.58749733
45	14.51062347
46	14.43600084
47	14.36535257
48	14.3014824
49	14.23757076
50	14.17853464
51	14.12252618
52	14.06838356
53	14.01747443
54	13.97015131
55	13.92523085
56	13.8819073
57	13.84277336
58	13.80455008
59	13.76842366
60	13.73524357
61	13.70262033
62	13.67174353
63	13.64238461
64	13.61422151
65	13.58706187
66	13.56229088
67	13.53804025
68	13.51566752
69	13.49403955
70	13.47338386
71	13.4544894
72	13.43649435
73	13.41981039
74	13.40296219
75	13.38854126
76	13.37391937
77	13.35949107
78	13.34578927
79	13.33278041
80	13.32038955
81	13.30830508
82	13.2974707
83	13.28724262
84	13.27765313
85	13.26830731
86	13.25888356
87	13.24980932
88	13.24087479
89	13.23266699
90	13.22447188
91	13.21702772
92	13.21043898
93	13.20313852
94	13.19667694
95	13.191316
96	13.18331604
97	13.17625627
98	13.17055176
99	13.16540465
100	13.15799967
101	13.15147413
102	13.14579517
103	13.14009626
104	13.13582859
105	13.13196755
106	13.12680684
107	13.12231298
108	13.11774511
109	13.11447745
110	13.11137327
111	13.10674503
112	13.10379464
113	13.09969475
114	13.09605776
115	13.09227122
116	13.08921386
117	13.08535222
118	13.08265332
119	13.07961255
120	13.07651826
121	13.07368742
122	13.07099012
123	13.06745496
124	13.06481724
125	13.06160395
126	13.0571787
127	13.05398817
128	13.05062943
