iter	Passed	Remaining
0	156	125234
1	414	165229
2	618	164395
3	856	170517
4	1136	180746
5	1248	165226
6	1370	155298
7	1535	152035
8	1700	149495
9	1855	146603
10	1991	142880
11	2086	137014
12	2163	130998
13	2434	136701
14	2655	138971
15	2898	142049
16	3172	146134
17	3373	146571
18	3619	148773
19	3836	149633
20	3979	147634
21	4189	148142
22	4334	146430
23	4516	146030
24	4686	145271
25	4848	144345
26	5114	146425
27	5292	145931
28	5420	144116
29	5677	145726
30	5862	145423
31	6145	147483
32	6356	147742
33	6583	148314
34	6769	147952
35	6996	148485
36	7181	148089
37	7394	148275
38	7595	148200
39	7747	147211
40	7963	147414
41	8043	145169
42	8241	145080
43	8405	144424
44	8544	143365
45	8791	144096
46	8951	143407
47	9104	142634
48	9283	142284
49	9488	142333
50	9716	142697
51	9906	142499
52	10038	141487
53	10176	140591
54	10360	140338
55	10454	138900
56	10536	137338
57	10623	135908
58	10735	134830
59	10850	133824
60	10933	132452
61	11011	131076
62	11105	129918
63	11193	128725
64	11285	127611
65	11349	126216
66	11401	124732
67	11481	123592
68	11592	122813
69	11662	121622
70	11771	120869
71	11940	120735
72	12145	120951
73	12412	121778
74	12549	121310
75	12772	121677
76	13014	122199
77	13158	121797
78	13402	122317
79	13610	122493
80	13813	122612
81	13908	121783
82	14206	122721
83	14421	122924
84	14622	122997
85	14920	123877
86	15128	123984
87	15258	123452
88	15333	122499
89	15386	121379
90	15500	120770
91	15602	120073
92	15694	119312
93	15776	118492
94	15894	117950
95	15973	117141
96	16030	116182
97	16157	115737
98	16264	115166
99	16388	114719
100	16574	114707
101	16739	114547
102	16904	114390
103	17064	114203
104	17269	114305
105	17427	114099
106	17617	114104
107	17885	114600
108	18111	114818
109	18256	114518
110	18400	114217
111	18536	113868
112	18702	113703
113	18832	113327
114	18991	113120
115	19060	112388
116	19139	111730
117	19225	111118
118	19319	110559
119	19444	110187
120	19508	109474
121	19617	109020
122	19750	108708
123	19852	108227
124	19968	107829
125	20075	107386
126	20181	106947
127	20243	106279
128	20312	105656
129	20437	105332
130	20653	105473
131	20854	105534
132	20998	105309
133	21179	105262
134	21377	105301
135	21587	105395
136	21825	105624
137	21974	105413
138	22135	105261
139	22301	105137
140	22464	104995
141	22672	105059
142	22853	104997
143	23013	104839
144	23223	104904
145	23387	104762
146	23519	104476
147	23793	104818
148	23967	104716
149	24084	104365
150	24211	104062
151	24408	104058
152	24632	104163
153	24812	104083
154	25035	104178
155	25298	104437
156	25506	104461
157	25642	104191
158	25774	103906
159	25996	103984
160	26193	103960
161	26391	103937
162	26596	103938
163	26824	104025
164	27055	104123
165	27295	104249
0160	154940	8074161161	155653	8051162162	156517	8037163163	157356	8021164164	158280	8009165165	159136	7995166166	159681	7964167167	160272	7937168168	161010	7917169	164808	804654
170	165639	803014
171	166512	801582
172	167566	801026
07
173	164828	782461
163851	772443
175	164576	770518
176	165494	769502
	24115	74316
196	24158	73946
197	24210	73609
198	24266	73287
199	24475	73427
200	24642	73435
201	24859	73594
202	25030	73613
203	25187	73587
204	25398	73718
205	25586	73777
206	25728	73704
207	25853	73583
208	26069	73719
209	26262	73785
210	26527	74050
211	26688	74023
212	26885	74092
213	27008	73957
214	27145	73859
215	27272	73736
216	27467	73796
217	27693	73933
218	27848	73880
219	27994	73802
220	28175	73817
221	28314	73720
222	28638	74101
223	28769	73978
224	29022	74168
225	29142	74015
226	29305	73974
227	29518	74054
228	29668	73976
229	29853	73985
230	30024	73956
231	30211	73965
232	30433	74060
233	30562	73923
234	30736	73898
235	30845	73716
236	31063	73792
237	31235	73758
238	31399	73702
239	31587	73705
240	31695	73518
241	31821	73372
242	32018	73391
243	32233	73449
244	32355	73295
245	32582	73376
246	32750	73323
247	33047	73556
248	33225	73523
249	33325	73315
250	33448	73160
251	33597	73062
252	33739	72947
253	33913	72901
254	34044	72761
255	34150	72570
256	34240	72344
257	34287	72030
258	34346	71742
259	34420	71488
260	34505	71258
261	34608	71065
262	34698	70848
263	34788	70630
264	34864	70387
265	34923	70108
266	35007	69883
267	35078	69633
268	35181	69447
269	35247	69190
270	35333	68971
271	35423	68762
272	35542	68611
273	35604	68350
274	35683	68123
275	35793	67955
276	35874	67734
277	35925	67456
278	36014	67252
279	36061	66972
280	36114	66702
281	36175	66450
282	36236	66198
283	36367	66076
284	36456	65877
285	36542	65673
286	36636	65485
287	36728	65295
288	36827	65116
289	36881	64860

281	46477	85373
282	46679	85276
283	46861	85143
284	47052	85024
285	47179	84790
286	47361	84656
287	47498	84442
288	47728	84391
289	47820	84097
290	47929	83835
291	48095	83672
