id,Listening_Time_minutes
750000,53.813633
750001,17.171955
750002,49.216145
750003,81.733955
750004,48.599792
750005,24.306177
750006,87.21835
750007,38.81922
750008,69.70318
750009,73.23033
750010,12.984397
750011,24.283367
750012,34.464844
750013,42.49915
750014,43.62139
750015,60.917377
750016,46.743984
750017,34.98956
750018,60.391567
750019,43.319523
750020,37.070164
750021,59.70769
750022,78.87413
750023,29.083858
750024,54.280697
750025,46.37261
750026,11.043255
750027,27.784548
750028,38.9072
750029,38.80164
750030,37.117237
750031,34.842556
750032,11.556623
750033,60.915318
750034,22.787695
750035,20.07423
750036,13.58299
750037,34.486767
750038,24.7821
750039,25.226995
750040,14.34503
750041,88.62726
750042,69.08251
750043,70.10489
750044,51.546043
750045,19.3099
750046,12.667651
750047,50.74013
750048,15.290081
750049,7.1968493
750050,91.22342
750051,24.482525
750052,43.804295
750053,83.189766
750054,13.765221
750055,14.8693
750056,72.59941
750057,57.862206
750058,20.415855
750059,39.40222
750060,46.960995
750061,34.154118
750062,69.636955
750063,72.88272
750064,46.17639
750065,15.143484
750066,65.51767
750067,40.510548
750068,58.143948
750069,43.873177
750070,33.293476
750071,43.160267
750072,48.229343
750073,27.21976
750074,38.43526
750075,87.99605
750076,14.830942
750077,11.378408
750078,76.641785
750079,81.016945
750080,44.31552
750081,95.649506
750082,15.134285
750083,76.419876
750084,76.330986
750085,63.769276
750086,56.93401
750087,92.10538
750088,12.368144
750089,45.007107
750090,62.903503
750091,87.78911
750092,34.71067
750093,32.4661
750094,52.07763
750095,29.920631
750096,4.5109386
750097,29.97546
750098,35.13049
750099,13.663034
750100,48.749508
750101,46.429966
750102,48.14935
750103,41.267406
750104,31.998175
750105,32.510357
750106,31.381447
750107,86.62793
750108,59.863712
750109,39.356483
750110,52.30998
750111,22.732819
750112,3.9489942
750113,74.28284
750114,56.391857
750115,86.04631
750116,86.907196
750117,67.551254
750118,47.5628
750119,23.29511
750120,3.1518784
750121,56.640007
750122,77.85736
750123,60.221233
750124,35.385002
750125,22.738064
750126,64.4736
750127,3.247298
750128,4.9362855
750129,16.263237
750130,41.336956
750131,31.599731
750132,4.418143
750133,47.722202
750134,75.67433
750135,29.89619
750136,40.096767
750137,11.882106
750138,87.56779
750139,60.078434
750140,50.09786
750141,46.338417
750142,51.21124
750143,30.712173
750144,57.50348
750145,52.610905
750146,74.04471
750147,67.55346
750148,48.228916
750149,6.9199657
750150,25.12763
750151,48.005775
750152,52.968594
750153,46.497013
750154,57.95789
750155,13.675
750156,3.771195
750157,63.83849
750158,20.125431
750159,34.056767
750160,58.165363
750161,43.871113
750162,57.941925
750163,15.119851
750164,79.76404
750165,87.53924
750166,76.617516
750167,86.76798
750168,56.700657
750169,43.907963
750170,54.997906
750171,38.889954
750172,2.1308098
750173,36.898407
750174,36.325493
750175,59.709393
750176,107.03595
750177,82.31655
750178,40.08987
750179,3.8136387
750180,87.85231
750181,40.7006
750182,91.118904
750183,35.9709
750184,85.0453
750185,30.570112
750186,77.67001
750187,42.636326
750188,11.085768
750189,20.34882
750190,56.235027
750191,27.443024
750192,32.704887
750193,29.776922
750194,45.62469
750195,46.535683
750196,30.080227
750197,9.673407
750198,20.030472
750199,38.367153
750200,43.218506
750201,70.81617
750202,37.278015
750203,51.06871
750204,64.35378
750205,31.905878
750206,20.14552
750207,50.933155
750208,34.254543
750209,42.628567
750210,53.96169
750211,53.046825
750212,57.03246
750213,64.07437
750214,32.937447
750215,64.92802
750216,74.167534
750217,48.30821
750218,9.889791
750219,33.13166
750220,41.900425
750221,32.441048
750222,36.70602
750223,34.723427
750224,70.067795
750225,3.116218
750226,80.9199
750227,69.86215
750228,35.353573
750229,27.627966
750230,44.04347
750231,26.626842
750232,53.57061
750233,69.82739
750234,22.968292
750235,20.126007
750236,45.900593
750237,31.5463
750238,24.377277
750239,21.232887
750240,91.305405
750241,76.154
750242,19.317152
750243,43.341614
750244,16.541206
750245,50.28082
750246,39.935062
750247,90.38757
750248,15.545454
750249,86.543076
750250,52.867443
750251,31.172283
750252,45.910557
750253,77.690125
750254,45.706066
750255,26.031815
750256,49.332916
750257,30.728102
750258,8.878032
750259,23.289642
750260,35.553402
750261,48.47833
750262,58.286823
750263,61.05643
750264,31.279713
750265,75.83764
750266,13.579246
750267,18.198467
750268,4.5732145
750269,6.037331
750270,46.394283
750271,58.47373
750272,2.3577042
750273,29.50103
750274,47.615345
750275,60.714935
750276,60.0544
750277,10.49063
750278,41.909355
750279,21.78139
750280,45.73952
750281,46.778194
750282,59.12376
750283,76.20484
750284,46.91498
750285,34.677433
750286,4.9260035
750287,72.38399
750288,32.575066
750289,7.5746393
750290,59.22456
750291,56.054813
750292,78.48343
750293,81.23166
750294,49.665867
750295,49.37974
750296,29.765863
750297,11.031827
750298,48.478794
750299,83.79729
750300,48.602512
750301,13.641597
750302,33.394924
750303,15.0565605
750304,39.913307
750305,81.78027
750306,49.056507
750307,15.714042
750308,61.754215
750309,15.651769
750310,14.261955
750311,60.03713
750312,46.11472
750313,73.807434
750314,62.784023
750315,4.661557
750316,79.2457
750317,44.018894
750318,22.83092
750319,24.487907
750320,44.06802
750321,33.234703
750322,44.09735
750323,68.80252
750324,73.53163
750325,61.093155
750326,33.663826
750327,48.349133
750328,23.542387
750329,67.19708
750330,78.65299
750331,28.45903
750332,16.833006
750333,15.235637
750334,26.05271
750335,59.569088
750336,36.241787
750337,88.13544
750338,36.31969
750339,79.30368
750340,33.692986
750341,14.169004
750342,34.075924
750343,14.504462
750344,24.08312
750345,49.374393
750346,78.64639
750347,92.29352
750348,54.13097
750349,16.07778
750350,82.29373
750351,23.027351
750352,74.84797
750353,44.2877
750354,60.686428
750355,37.586742
750356,89.43798
750357,37.55753
750358,70.60658
750359,43.57852
750360,74.23422
750361,48.00825
750362,14.779961
750363,71.514336
750364,35.107494
750365,88.64212
750366,38.897953
750367,68.19969
750368,72.28302
750369,58.76813
750370,75.92878
750371,17.817532
750372,49.60992
750373,19.85743
750374,58.74278
750375,47.87851
750376,16.994514
750377,65.07611
750378,46.689495
750379,9.220566
750380,20.427193
750381,15.6235
750382,77.320694
750383,39.4527
750384,82.368416
750385,41.936745
750386,41.123684
750387,8.406217
750388,22.37015
750389,21.432066
750390,41.571445
750391,22.357372
750392,72.7873
750393,9.117045
750394,59.79431
750395,63.465694
750396,42.267242
750397,12.710084
750398,75.66179
750399,32.58992
750400,12.9340925
750401,77.84824
750402,82.803406
750403,19.105433
750404,18.525248
750405,16.5625
750406,20.03682
750407,39.612774
750408,72.33162
750409,17.584204
750410,49.490192
750411,36.620052
750412,23.909716
750413,32.941154
750414,49.887577
750415,47.496887
